engine_id,engine_name,engine_platforms,engines_companies
1201,Discord.py,undefined,undefined
119,Glacier,undefined,290;
872,HOPA Engine,undefined,undefined
1068,Hugo,undefined,undefined
1166,FM2K,undefined,undefined
78,Chrome Engine,6;9;12;48;49;,108;
297,Crystal Space,undefined,undefined
488,PC,undefined,undefined
1324,GameStudio,undefined,undefined
1129,Adventure Game Toolkit (AGT),undefined,undefined
1236,Namco System,undefined,undefined
937,RenderDragon,undefined,undefined
168,Angelica 3D,undefined,undefined
169,Eparch 2D,undefined,undefined
702,BYOND,undefined,undefined
190,Omen Engine,undefined,undefined
231,SigE,undefined,undefined
243,A-Life,undefined,undefined
325,Bluepoint Engine,undefined,undefined
247,SurRender 3D,undefined,undefined
376,Adventure Maker,undefined,undefined
466,GH Engine,undefined,undefined
1059,Modified Internal Engine,undefined,undefined
469,React Native,undefined,undefined
1273,VeChain,undefined,undefined
753,Quixel Megascans,undefined,undefined
758,proprietary engine [ by Pearl Abyss ],undefined,undefined
757,ADV+++,undefined,undefined
154,Vengeance Engine,6;,21;
155,INSANE,6;7;13;14;50;78;,undefined
1115,Coretech 3,undefined,undefined
71,Z-machine,undefined,undefined
279,HPL Engine,undefined,undefined
1312,Xash 3D,undefined,undefined
626,LithTech Jupiter,undefined,undefined
482,CryEngine 3,undefined,249;
74,X-ray Engine,6;,144;
189,AtmosFear,undefined,undefined
308,Cryengine 2,undefined,undefined
748,Vision Engine,undefined,undefined
1040,Jade Engine,undefined,undefined
47,id Tech 5,6;9;12;14;48;49;,184;
322,ZDoom,undefined,undefined
201,RuneTek,undefined,undefined
1075,LightForce,undefined,undefined
327,Infernal Engine,undefined,undefined
217,Lightweight Java Game Library,undefined,undefined
547,TW Engine 1,undefined,111;
87,HeroEngine,undefined,undefined
545,Duplicate 669,undefined,undefined
1323,Killer Queen,undefined,undefined
374,SGE Game Engine,3;6;14;,undefined
344,Pygame,undefined,undefined
85,Gex engine,undefined,undefined
4,GoldSrc,3;6;8;11;14;23;,56;
86,IceWave,undefined,undefined
88,Genome,undefined,undefined
117,Quantic Dream Engine,undefined,undefined
180,Marmoset,undefined,undefined
178,HPL,undefined,undefined
182,Enigma engine,undefined,undefined
1218,Minetest(Q89114416),undefined,undefined
202,ioquake3,undefined,undefined
222,True3D,undefined,undefined
306,Corona SDK,undefined,undefined
310,Blam! Engine,undefined,undefined
1060,DikuMUD,undefined,undefined
1125,Ftech X,undefined,undefined
366,Stingray Engine,undefined,undefined
378,Lassie Shepherd,undefined,undefined
1127,adrift,undefined,undefined
383,Sparkle Engine,undefined,undefined
1333,ALLS UX,undefined,undefined
403,T-REX Sandbox,undefined,undefined
1237,Super Namco System,undefined,undefined
422,Intelligent Stupidity,undefined,undefined
427,Asura engine,undefined,undefined
465,Nvidia PhysX,undefined,undefined
569,Wolfenstein RPG,undefined,undefined
970,Atomiswave,undefined,undefined
612,Quicksilver X,undefined,undefined
1287,Atari 6502,undefined,undefined
542,Bright Light Halogen,6;,2142;
1196,LegendO,undefined,undefined
239,Irrlicht,undefined,undefined
236,Cocos2d,undefined,undefined
220,Vicious Engine,undefined,undefined
20,Doom engine,undefined,undefined
1148,NeXAS,undefined,undefined
1112,Sunshine,undefined,undefined
1313,web3,undefined,undefined
391,Dragon Engine,undefined,undefined
697,I-Novae Engine,undefined,undefined
749,Zod Engine,undefined,undefined
751,Visual Basic,undefined,undefined
72,Odyssey,6;11;14;,2;
1041,Despair,undefined,undefined
821,E-mote,undefined,undefined
234,TW Engine 3,undefined,111;
1135,AIMS,undefined,undefined
1113,Sunshine Engine,undefined,undefined
101,Virtual Theatre,undefined,undefined
105,Essence Engine,undefined,undefined
98,Neon Engine,undefined,undefined
96,SAGA,undefined,undefined
135,Geo-Mod,undefined,undefined
133,Terrabuilder,undefined,undefined
166,enhanced Adventure Island,undefined,undefined
196,FXEngine,undefined,undefined
209,Godfather engine,undefined,undefined
244,Vsim,undefined,undefined
384,CharLib,undefined,undefined
397,Faktum Engine,undefined,undefined
1326,OverWorld,undefined,undefined
977,CP System III (CPS-3),undefined,undefined
1061,Crimson Engine,undefined,undefined
1106,Ego Engine 3.0,undefined,undefined
1123,Capcom Play System III (CPS-3),undefined,undefined
1274,WillPlus,undefined,undefined
428,Sigma Engine,undefined,undefined
432,Phoesion GE,undefined,undefined
438,Real Virtuality 3,undefined,undefined
455,Orx,undefined,undefined
508,Alternativa Engine,undefined,undefined
582,Google Play Services,undefined,undefined
586,Spiller,undefined,undefined
618,Swarm Engine,undefined,undefined
669,Essence Engine 5,undefined,undefined
670,Jomini Engine,undefined,undefined
677,Warriors engine,undefined,undefined
679,BigBang,undefined,undefined
689,GlyphX Engine,undefined,undefined
410,android,undefined,undefined
972,Sega Lindbergh,undefined,undefined
777,ALIVE,undefined,undefined
1361,calico,undefined,undefined
503,Simplygon,undefined,undefined
1206,GLM,undefined,undefined
454,ArenaNet Guild Wars,undefined,undefined
1311,Custom Engine,undefined,undefined
429,AngularJs,undefined,undefined
603,Unity3D,undefined,undefined
1189,MapTools,undefined,undefined
817,NeoX engine [ by NetEase Games ],undefined,undefined
819,Ikura GDL,undefined,undefined
1177,BepuPhysics,undefined,undefined
106,ROMU,undefined,undefined
1110,CryEngine V,undefined,undefined
211,Dragonfly,undefined,undefined
1163,MechWarrior 2,undefined,undefined
228,Prometheus In-Game Engine,undefined,undefined
248,StarLancer Engine,undefined,undefined
360,SKALD,undefined,undefined
511,Genesis3D,undefined,undefined
161,STEAM engine,undefined,undefined
600,WangReal Engine,undefined,undefined
381,Valhalla,undefined,undefined
974,CPAL3D Engine,undefined,undefined
157,GAIA,undefined,undefined
1120,Roblox Studio,undefined,undefined
145,GrimE,6;8;14;,undefined
450,Dulst,undefined,undefined
1053,M.U.G.E.N,undefined,undefined
107,Firaxis LORE,undefined,undefined
